PubId,visit_date,Unique_Visitors,Visits,New_Visits,Avg_Duration,Pages_Visits,Bounce_Rate,Seller_Clicks,Searches
356890,20131202,"1,056","1,090",862,0:02:10,2.08,44.31%,311,64
356905,20131201,"1,046","1,066",911,0:01:37,1.76,54.22%,260,64
356894,20131217,"1,044","1,061",830,0:03:02,2.05,42.51%,355,56
356890,20131207,"1,041","1,083",816,0:04:21,2.28,39.15%,389,71
357032,20131201,"1,041","1,105",519,0:05:14,4.54,27.51%,360,201
356894,20131213,"1,036","1,048",838,0:02:00,2.24,39.98%,397,56
509,20131231,"1,036","1,088",490,0:04:41,1.73,36.95%,137,47
29,20140102,"1,034","1,151",230,0:13:26,4.88,28.06%,463,194
354282,20131216,"1,031","1,090",365,0:04:20,3.16,16.88%,544,59
354282,20131209,"1,022","1,078",392,0:05:28,3.47,18.83%,573,96
357032,20131202,"1,019","1,100",333,0:04:20,3.72,31.82%,272,181
356889,20140103,"1,017","1,073",784,0:01:59,2.2,40.45%,377,73
354282,20131229,"1,009","1,078",350,0:06:24,3.53,18.00%,532,71
354282,20131203,"1,007","1,053",382,0:05:00,3.09,21.84%,524,56
354282,20131227,"1,007","1,075",394,0:05:17,3.29,19.63%,495,86
356887,20131209,"1,004","1,048",808,0:01:55,2.12,45.80%,314,73
356894,20140102,"1,004","1,029",801,0:02:10,2.06,40.23%,380,56
356887,20131226,999,"1,044",786,0:02:59,2.18,48.85%,306,96
356890,20131208,999,"1,034",784,0:02:37,2.12,37.91%,380,44
356887,20131208,997,"1,026",784,0:01:52,2.06,43.18%,355,83
509,20131225,995,"1,046",451,0:05:35,1.92,36.04%,110,47
354282,20140113,990,"1,041",299,0:05:09,2.66,24.21%,500,76
356887,20131203,990,"1,009",784,0:01:56,1.9,48.07%,316,49
356889,20131227,982,"1,024",772,0:01:47,2.21,41.89%,326,66
29,20131226,980,"1,144",228,0:15:46,4.49,26.14%,446,176
356890,20131206,975,"1,012",796,0:02:18,2.25,41.40%,355,61
356894,20140101,975,999,757,0:04:24,2.14,39.74%,360,61
358054,20131216,975,"1,019",514,0:03:23,1.99,33.17%,135,44
356890,20131203,968,997,767,0:02:43,2.25,43.03%,345,44
509,20131224,965,999,402,0:03:52,1.71,38.74%,103,39
356887,20131207,963,999,762,0:03:30,2.31,44.64%,338,88
356905,20131212,963,995,865,0:01:43,1.74,56.88%,203,64
356889,20140101,958,999,681,0:02:15,2.2,44.14%,282,69
356905,20131208,955,980,806,0:01:29,1.72,48.98%,269,71
356889,20131226,953,987,725,0:01:44,1.88,48.94%,306,61
356905,20131203,950,958,801,0:01:41,1.76,58.04%,228,56
356905,20131216,950,980,777,0:01:41,1.91,57.24%,235,54
356887,20140102,946,977,803,0:02:21,2.01,47.19%,269,59
356889,20131221,946,980,740,0:02:24,1.94,47.45%,279,61
29,20140105,941,"1,044",211,0:16:36,4.13,30.08%,365,127
29,20140104,938,"1,041",208,0:07:48,4.26,28.43%,360,108
356905,20131209,938,968,796,0:01:46,1.83,53.62%,252,61
356889,20131230,936,963,754,0:02:41,2.27,45.79%,287,56
29,20140103,931,"1,053",260,0:06:22,4.49,30.01%,375,122
356894,20131229,931,965,735,0:02:08,2.21,36.06%,399,59
356889,20140115,928,985,735,0:01:31,2.09,47.51%,299,88
356894,20140103,928,946,754,0:02:20,1.88,38.58%,353,59
356905,20131217,926,946,813,0:01:03,1.6,57.19%,223,51
358054,20131209,926,975,485,0:02:45,1.96,38.15%,152,20
356887,20140115,924,950,759,0:02:03,1.98,47.68%,274,64
356894,20131228,921,943,718,0:04:01,2.21,39.77%,326,49
356894,20131218,919,938,735,0:01:58,2.12,43.39%,318,47
356890,20131204,916,931,740,0:02:00,2.21,42.64%,306,56
356887,20131204,911,938,745,0:02:13,1.98,48.29%,282,71
356887,20131210,911,943,777,0:01:52,1.93,48.89%,289,69
356905,20140102,909,938,747,0:01:41,1.67,55.65%,245,44
354282,20131230,906,970,316,0:06:29,3.54,18.14%,524,69
354282,20140106,906,960,358,0:05:22,3.62,22.50%,451,81
356887,20131206,906,941,723,0:02:34,1.88,48.46%,267,73
356887,20131229,906,936,708,0:01:41,1.92,47.86%,272,71
356905,20131210,904,938,779,0:01:21,1.68,55.33%,220,49
356889,20131219,899,953,732,0:02:21,2.01,42.71%,296,54
356905,20131207,899,921,767,0:01:52,2.02,55.81%,230,61
356905,20140101,899,977,769,0:03:39,2.46,48.41%,301,56
356890,20131215,897,916,728,0:01:53,2.13,41.16%,296,64
356891,20131201,897,941,710,0:02:12,2.36,41.87%,360,66
356890,20131205,892,911,718,0:02:34,2.43,44.90%,269,73
356887,20131212,889,911,737,0:01:49,2.01,49.51%,267,64
356905,20131218,887,899,781,0:01:21,1.7,54.73%,240,54
356891,20131202,884,928,737,0:01:59,2.67,41.70%,316,42
358054,20131204,884,926,436,0:02:52,2.09,37.80%,125,47
358054,20140107,884,933,424,0:03:23,2.07,38.05%,108,49
356890,20131210,882,904,666,0:02:21,2.16,39.60%,294,66
356889,20131231,879,931,698,0:02:48,2.18,45.76%,279,39
356894,20131230,879,892,706,0:02:39,2.22,40.70%,304,51
356887,20140103,877,914,723,0:01:30,1.92,50.66%,240,64
356887,20131227,875,899,715,0:02:33,1.87,44.38%,274,71
356894,20131226,875,892,688,0:03:21,2.21,42.26%,341,47
356894,20140105,870,906,740,0:01:59,1.88,42.49%,282,54
357032,20131212,870,941,475,0:04:51,3.94,25.29%,277,167
356889,20131220,865,906,647,0:02:37,2.13,42.16%,311,59
356887,20131218,857,875,703,0:03:15,1.89,47.09%,218,69
29,20131228,855,950,174,0:08:41,3.94,30.74%,350,118
356891,20131216,855,899,691,0:01:43,2.11,42.83%,323,64
357032,20131203,855,909,299,0:04:17,4.1,39.38%,243,120
356905,20131224,850,865,732,0:02:57,1.65,56.30%,233,39
358054,20140106,850,889,416,0:04:01,2.16,35.77%,108,29
356887,20140104,848,870,693,0:02:02,1.9,45.29%,272,61
356889,20131223,848,892,666,0:02:29,2.17,44.51%,299,42
356905,20131213,848,870,718,0:01:49,1.97,54.02%,230,61
356887,20131215,845,882,683,0:02:00,1.86,54.76%,208,54
356889,20140112,845,875,661,0:02:00,2.23,46.74%,247,66
356890,20131209,845,850,669,0:02:13,2.24,43.18%,309,49
358054,20131217,845,884,465,0:03:29,2.02,35.97%,137,54
29,20140101,843,936,184,0:11:56,4.64,25.11%,353,118
356905,20131211,838,860,725,0:01:42,1.83,54.65%,211,64
358054,20131201,838,877,414,0:03:24,2.11,39.34%,108,47
354282,20131217,835,914,331,0:05:45,3.67,20.90%,468,64
356891,20131208,835,884,652,0:03:18,2.45,36.88%,375,98
29,20131229,833,941,174,0:15:37,3.35,31.77%,348,149
356887,20131216,833,860,683,0:02:34,1.86,48.95%,238,54
356887,20131230,830,867,666,0:02:14,2.01,46.94%,265,64
356891,20131212,830,855,671,0:02:19,2.48,34.97%,360,83
358054,20131203,830,852,426,0:03:10,1.97,35.68%,105,34
356887,20140105,828,855,691,0:02:30,1.85,50.18%,235,56
356905,20131215,826,833,698,0:01:18,1.55,60.62%,184,24
354282,20140101,823,879,323,0:04:56,3.65,16.95%,416,88
356889,20140106,823,860,649,0:01:53,2.12,49.30%,265,42
356905,20140107,823,833,715,0:03:17,1.78,58.46%,176,47
356889,20140111,821,850,625,0:03:19,2.36,39.53%,287,64
356894,20131227,821,843,683,0:01:59,1.93,43.89%,269,39
356891,20131209,818,838,676,0:02:22,2.74,40.10%,326,86
356891,20131214,818,857,671,0:02:04,2.33,39.44%,309,83
356905,20140109,818,833,723,0:01:22,1.68,58.22%,189,47
29,20131219,813,914,152,0:12:27,4.2,28.99%,292,115
356905,20131214,813,828,679,0:01:02,1.6,61.59%,169,42
29,20131227,811,946,167,0:10:33,3.88,30.55%,367,137
358054,20131218,811,852,438,0:03:43,1.92,38.26%,135,49
356887,20131214,808,828,642,0:02:11,1.83,45.89%,243,66
356887,20131228,808,843,639,0:02:33,1.89,45.31%,247,59
356889,20140114,808,838,652,0:02:02,2.22,39.14%,304,81
358054,20140102,808,838,441,0:05:16,2.14,35.32%,122,37
356905,20131206,803,816,686,0:01:50,1.84,53.68%,196,59
358054,20140101,803,835,407,0:02:34,1.92,37.25%,135,12
356894,20140104,801,826,637,0:02:20,1.92,40.68%,292,59
356905,20131226,801,808,683,0:01:22,1.6,53.71%,184,66
356905,20131230,801,830,671,0:01:33,1.73,54.94%,196,66
356905,20140104,801,818,688,0:02:01,1.98,52.69%,213,51
356891,20131210,799,833,644,0:02:42,2.39,36.13%,380,49
356905,20131223,799,816,661,0:01:03,1.47,63.36%,157,39
358054,20131230,799,830,434,0:03:28,2.07,32.77%,120,17
356905,20131204,794,806,679,0:02:04,1.78,53.85%,211,61
29,20131222,791,889,157,0:08:09,4.08,31.72%,299,130
356887,20131205,791,818,657,0:01:52,1.84,50.00%,240,59
356887,20131217,791,845,634,0:01:34,1.83,51.83%,211,69
356891,20131218,791,808,627,0:02:08,2.63,38.24%,301,73
358054,20131215,791,826,451,0:02:46,2.02,35.35%,93,20
29,20140106,789,946,159,0:12:17,4.34,30.34%,343,130
356887,20140111,789,808,632,0:03:43,2.06,48.76%,220,71
356890,20131211,789,816,630,0:01:55,2.31,38.97%,272,44
356894,20131222,789,811,630,0:04:27,2.27,39.83%,282,37
356894,20140108,789,828,634,0:02:31,2.13,40.58%,260,47
