PubId,PubName,PubGroupId,PubGroupName
2330,whenu test,211,WhenU Banners
2933,kanoodle ed2,1,IndustryBrains
2925,iwon pop mort,81,AskJeeves Banners
2935,iwon money mort,81,AskJeeves Banners
2981,excite mail mort,81,AskJeeves Banners
2300,aol edu ad,125,AOL Banners
2988,excite investing,81,AskJeeves Banners
2203,ggshg uk,132,Google UK
2554,hotmail #2 mort ad,335,MSN Banners
50566,dealsources,390,Affiliates
50661,erikw8,390,Affiliates
1787,gotoihealth,2,Yahoo US
2081,yahoo ron mort ad,84,Yahoo Banners
3073,weatherbug targeted,523,Weatherbug Banners
3120,ink hotel uk,314,Inktomi UK
2,google select,6,Google US
211,ggsi webhost,6,Google US
2126,gotoc autoins,2,Yahoo US
2392,gotoc uk hg,131,Yahoo UK
3072,pplus cpm calibex,335,MSN Banners
3190,yahoo default uk,131,Yahoo UK
2333,gator uk,251,Gator UK
2781,weather uberbutton mort ad,522,Weather.com Banners
3226,goto nontech uk,127,Unclassified Banner Pubs
3228,ggsi nontech uk,132,Google UK
1906,netzero mort ad,313,United Online Banners
2230,interest high mort,466,Interest.com Banners
3032,247 isp search mort,9,247 Real Media Banners
3261,3 inter blog mort ad,334,3 Interactive Banners
2889,3 interactive 2 mort,334,3 Interactive Banners
2973,CNNMoney PerFin Good Life,125,AOL Banners
2535,IBS Network,461,IBS Network Banners
3116,IBS Network he,461,IBS Network Banners
3238,abc ntvs via winstar,127,Unclassified Banner Pubs
2290,accuw radar cities text,432,Accuweather Banners
2288,accuw sat menu text,432,Accuweather Banners
2411,accuweather 234x60_1,432,Accuweather Banners
2629,accuweather home equity,432,Accuweather Banners
3017,accuweather travel special ad,432,Accuweather Banners
2587,agreet edu ad,436,AmericanGreetings Banners
2855,ancestry mort ad,127,Unclassified Banner Pubs
2432,aol  ads 3,125,AOL Banners
2235,aol 2593 travel,125,AOL Banners
2277,aol 2894 ads aol,125,AOL Banners
2202,aol 3058,125,AOL Banners
2413,aol 3890 mort ad,125,AOL Banners
2417,aol 3890 mort ad 2,125,AOL Banners
2418,aol 3890 mort ad 3,125,AOL Banners
2866,aol 7.0 ws 1,125,AOL Banners
2868,aol 7.0 ws 3,125,AOL Banners
2275,aol WS pm,125,AOL Banners
3021,aol adcom calibex mort ad,125,AOL Banners
3233,aol baseball module travel special ad,125,AOL Banners
3096,aol business news NYT article,125,AOL Banners
3199,aol ccc mail mort ad,125,AOL Banners
3111,aol coastal living home interest mort ad,125,AOL Banners
2420,aol edu ad 2,125,AOL Banners
2268,aol flat pic,125,AOL Banners
2558,aol home equity ad,125,AOL Banners
3282,aol lss mens travel special ad,125,AOL Banners
2951,aol mail inbox he ad,125,AOL Banners
2955,aol module he ad,125,AOL Banners
3215,aol pro football mort ad,125,AOL Banners
2852,aol top news article mort ad,125,AOL Banners
3110,aol webmail 2 mort ad,125,AOL Banners
2802,aol ws 1 mort ad,125,AOL Banners
2804,aol ws 3 mort ad,125,AOL Banners
2824,aol ws 5 mort ad,125,AOL Banners
3197,aol.com STV ccc mail mort ad,125,AOL Banners
2301,ap edu ad,124,AP Banners
2569,ap product ad,124,AP Banners
2445,ap traveldest banners,124,AP Banners
3274,asn howstuffworks mort ad,127,Unclassified Banner Pubs
3069,att finance mort,437,ATT Banners
